,anger,disgust,fear,joy,sadness,file_mp3
0,0.3,0.0,0.0,0.8,0.1,s0cnj87l39z4.mp3
1,0.7,0.5,0.4,0.0,0.4,j024h53n6znd.mp3
2,0.8,0.6,0.0,0.0,0.3,kdtkgz58bssr.mp3
3,0.3,0.2,0.1,0.8,0.0,twrcknfzc8gz.mp3
4,0.4,0.4,0.3,0.3,0.1,y1da7g3gt5l3.mp3
5,0.6,0.3,0.2,0.1,0.2,lln7wv0kdd7v.mp3
6,0.6,0.1,0.4,0.1,0.3,ukwjzg3bu7nq.mp3
7,0.9,0.0,0.4,0.0,0.5,ndjn6k0wegsp.mp3
8,0.5,0.0,0.0,0.5,0.0,pjwgx6tl2sn7.mp3
9,0.5,0.3,0.1,0.0,0.3,4xwmqga86hjp.mp3
10,0.7,0.6,0.1,0.0,0.1,wbppe0rpgwt2.mp3
11,0.2,0.2,0.2,0.2,0.5,5q78ykd7qtxt.mp3
12,0.6,0.4,0.2,0.0,0.3,g9u4qaimjqqd.mp3
13,0.4,0.3,0.1,0.3,0.4,xopntjbf8uyg.mp3
14,0.5,0.5,0.4,0.0,0.3,ftop3mzm6lvr.mp3
15,0.5,0.0,0.0,0.7,0.0,69dtt92jjfmr.mp3
16,0.6,0.1,0.1,0.4,0.2,hdungashgsqe.mp3
17,0.5,0.4,0.1,0.3,0.2,30cpwthd04pf.mp3
18,1.0,0.2,1.0,0.1,0.1,0gappwcngxn8.mp3
19,0.2,0.0,0.1,0.7,0.0,jvkvrtjcd4bx.mp3
20,0.8,0.1,0.2,0.0,0.3,iqyev64f8zrd.mp3
21,0.6,0.5,1.0,0.0,0.0,l0xbf36tozdt.mp3
22,0.3,0.3,0.3,0.2,0.2,abozp9nh8enp.mp3
23,0.5,0.3,0.1,0.6,0.0,b8jueah6v8j5.mp3
24,1.0,0.5,0.0,0.0,0.0,x7h0tjnrqy2g.mp3
25,0.6,0.1,0.3,0.1,0.5,z00f81zu63up.mp3
26,0.5,0.0,0.0,0.7,0.0,artop3whu9qs.mp3
27,0.6,0.2,0.0,0.2,0.4,5x4bn0pmdi94.mp3
28,0.4,0.3,0.2,0.2,0.4,2m9ke76hwc88.mp3
29,0.4,0.0,0.2,0.8,0.0,v11czt3s460l.mp3
30,0.2,0.0,0.1,1.0,0.0,i44mvr3hwfzo.mp3
31,0.9,0.7,0.5,0.0,0.1,i5accyf6clc2.mp3
32,1.0,0.5,0.5,0.0,0.1,965v22mnb6yt.mp3
33,0.5,0.1,0.3,0.1,0.1,9hkn2p50tv77.mp3
34,0.6,0.5,0.2,0.1,0.6,r7ene4pog79e.mp3
35,0.6,0.1,0.0,0.5,0.3,lr0g3xh9ov95.mp3
36,1.0,0.5,0.1,0.0,0.1,uo6icumrb4o0.mp3
37,0.5,0.1,0.6,0.2,0.1,tbz7fz0iy92b.mp3
38,0.2,0.1,0.1,0.2,0.5,hjcs9fgzvcvo.mp3
39,0.7,0.3,0.2,0.0,0.3,ouovs29vf8uw.mp3
40,0.3,0.3,0.2,0.3,0.2,izzrfjbnegrt.mp3
41,0.9,0.9,0.3,0.0,0.0,8rzcgd0ofld2.mp3
42,0.2,0.0,0.1,0.7,0.0,7apj007l7t32.mp3
43,0.1,0.0,0.4,0.0,0.2,h6eatrgzpplq.mp3
44,1.0,0.3,0.1,0.0,0.2,nd3gm5of5fgu.mp3
45,1.0,1.0,0.5,0.0,0.1,tu6etm4oaans.mp3
46,0.6,0.1,0.1,0.6,0.0,6h711asb3004.mp3
47,0.5,0.4,0.4,0.1,0.0,5nricshesjrb.mp3
48,0.9,0.3,0.0,0.0,0.3,3r5w5mh2q6yf.mp3
49,0.5,0.1,0.2,0.8,0.2,hvya7ol8uv1y.mp3
50,0.2,0.8,0.1,0.5,0.0,p2gajfh5y0z8.mp3
51,0.4,0.2,0.5,0.1,0.0,qemrayobgsa1.mp3
52,0.1,0.0,0.1,0.6,0.2,xzt85skv5stt.mp3
53,0.6,0.2,0.5,0.0,0.3,r3ansgujzfcd.mp3
54,0.5,0.0,0.0,0.8,0.4,su0kjq39xg1n.mp3
55,0.9,0.2,0.1,0.0,0.3,enyisasg5hro.mp3
56,0.5,0.3,0.2,0.0,0.7,qnjwvw2ufut3.mp3
57,0.5,0.2,0.1,0.5,0.0,6d1x27zoljdt.mp3
58,0.8,0.4,0.0,0.1,0.3,07b7o4kpt679.mp3
59,0.9,0.6,0.5,0.0,0.2,bh9jp11tz5zj.mp3
60,0.5,0.0,0.0,0.7,0.3,ukbobls0yms9.mp3
61,0.5,0.1,0.1,0.5,0.3,mucbin9jbdxc.mp3
62,0.5,0.3,0.3,0.1,0.4,51bs4tlcz61a.mp3
63,0.1,0.0,0.2,0.8,0.4,nago35k6nrnn.mp3
64,0.9,0.0,0.1,0.0,0.6,foa1kpsrrb0d.mp3
65,0.5,0.4,0.0,0.5,0.0,r1kb96131ldj.mp3
66,1.0,0.1,0.4,0.0,0.1,seyqndwhtafs.mp3
67,0.6,0.3,0.4,0.1,0.2,b4mix68t6rjw.mp3
68,0.8,0.5,0.2,0.1,0.4,huw09ohbat93.mp3
69,0.5,0.3,0.7,0.1,0.0,33qw71erp3ya.mp3
70,0.5,0.0,0.0,0.7,0.0,yyixydquid7q.mp3
71,0.6,0.5,0.0,0.2,0.1,8hi89969ul3v.mp3
72,0.6,0.1,0.5,0.4,0.2,ia9z0qw84rx5.mp3
73,0.7,0.5,0.1,0.3,0.0,j1b4prblif5j.mp3
74,0.5,0.2,0.0,0.5,0.0,36p2xqxoz53x.mp3
75,0.6,0.2,0.3,0.2,0.4,vhwquwp678e4.mp3
76,0.6,0.0,0.7,0.1,0.1,ezf10g6rp457.mp3
77,0.9,0.9,0.2,0.0,0.0,v5odpu6znevo.mp3
78,1.0,0.5,0.5,0.0,0.0,pcl0yutvepdc.mp3
79,0.2,0.5,0.4,0.0,0.4,a19f2zodgq0o.mp3
80,0.1,0.4,0.8,0.1,0.1,ztiv18k0pnmb.mp3
