,anger,disgust,fear,joy,sadness,file_mp3,performer,title
0,0.2,0.2,0.2,0.2,0.5,zioa2me2o052.mp3,Kenny G,Songbird
1,0.9,0.3,0.2,0.0,0.3,eevdxamgmfwj.mp3,Poison,Unskinny bop
2,0.5,0.5,0.5,0.0,0.5,uijuc2nz24u0.mp3,Team BS,Case depart
3,0.7,0.6,0.0,0.2,0.0,ppv2pzbliijq.mp3,Chuck Berry,Johnny B. Goode
4,0.6,0.4,0.1,0.0,0.0,sb65l6rsz5ry.mp3,Nirvana,Smells like teen spirit
5,1.0,0.0,0.1,0.0,0.1,zhxg2wg2o61r.mp3,Ray Charles,I don't need no doctor
6,0.7,0.0,1.0,0.0,0.4,6hzdtywrh1zl.mp3,Black Veil Brides,In the end
7,0.8,0.0,1.0,0.0,0.5,fo7pz2t3y1s2.mp3,Blackberry Smoke,Leave a scar
8,1.0,1.0,0.0,0.0,0.0,krphheaup850.mp3," Lil Jon,Three 6 Mafia, Ludacris ",Act a fool
9,0.1,0.2,0.3,0.3,0.3,306ssfos3e5m.mp3,Future Of Vision,Here comes the rain again
10,0.8,0.7,0.9,0.0,0.0,65mqyp3i5l26.mp3,Creedence Clearwater Revival,Born on the bayou
11,0.5,0.5,0.2,0.5,0.1,ens7ariosyzp.mp3,Dirty Vegas,Let the night (Sharam Jey remix)
12,0.8,0.7,0.9,0.0,0.0,65mqyp3i5l26.mp3,Creedence Clearwater Revival,Born on the bayou
13,0.5,0.4,0.6,0.0,0.1,wnm0twtdfooy.mp3,The Fratellis,Me and the devil
14,0.6,0.1,0.3,0.0,0.0,566pynznlrhr.mp3,LANY,Where the hell are my friends
15,0.5,0.7,0.5,0.0,0.1,ianliow2djcp.mp3,Mother Mother,Get out the way
16,0.9,1.0,0.0,0.0,0.0,nxt7ppf9ybqy.mp3,Gucci Mane,Lemonade (heroes + villains remix)
17,0.7,0.1,0.9,0.0,0.0,eixci2cwg5le.mp3,Steppenwolf,Monster
18,0.6,0.0,0.7,0.1,0.1,ezf10g6rp457.mp3,Jakatta,One fine day
19,1.0,0.0,0.5,0.0,0.0,3ozeqi87g1p0.mp3,"Snoop Dogg, Jeremih",Point seen money gone
20,0.1,0.2,0.2,0.0,0.5,hiik92oc7yur.mp3,Bigelf,Pain killers
21,0.8,0.4,0.7,0.0,0.0,mak5j6vo128l.mp3,Loverboy,Lovin' every minute of it
22,0.9,0.5,0.5,0.0,0.0,1aooo3rjulha.mp3,"Linkin Park, Steve Aoki",A light that never comes (Brian Yates remix)
23,0.5,0.1,0.4,0.5,0.0,pwqvjp00epmy.mp3,Snoop Dogg,New years eve
24,0.8,0.3,0.1,0.5,0.4,4kqtwmo9tu5a.mp3,Boney M,No woman no cry
25,0.5,0.0,0.0,0.8,0.4,su0kjq39xg1n.mp3,My Chemical Romance,Sing
26,0.6,0.1,0.3,0.1,0.1,1ow57x132zwh.mp3,Bruce Springsteen,Dancing in the dark
27,0.7,0.8,0.3,0.0,0.1,hx2gp4qsznp5.mp3,STYX,The grand illusion
28,0.4,0.3,0.1,0.1,0.1,05nlpmr74nk7.mp3,The Kinks,Waterloo sunset
29,0.7,0.2,0.1,0.0,0.4,7vyti2num3v0.mp3,Little Richard,Tutti frutti
30,0.8,0.1,0.1,0.0,0.4,375jw72r4u9t.mp3,Frijid Pink,Heartbreak hotel
31,0.9,0.5,0.0,0.0,0.0,1ysor7hm6ppy.mp3,"PSY, Snoop Dogg",Hangover
32,0.4,0.3,0.3,0.0,0.1,rko2dxbw0ehl.mp3,Poison,Ride the wind
33,0.3,0.1,0.1,0.2,0.1,coixftgc895z.mp3,Molly Hatchet,Sailor
34,1.0,1.0,0.0,0.0,0.0,krphheaup850.mp3," Lil Jon,Three 6 Mafia, Ludacris ",Act a fool
35,0.5,0.2,0.0,0.5,0.1,4y3u4lebdv3d.mp3,Michael Bolton,When a man loves a woman
36,1.0,0.5,0.5,0.0,0.0,0u4ejmjskkow.mp3,Cypress Hill,Insane In The Brain (Dj A-One remix)
37,0.2,0.0,0.0,0.9,0.0,8tzk87djb5rp.mp3,Little Richard,Long tall sally
38,0.6,0.6,0.2,0.0,0.1,v6m95zlgtdww.mp3,Peter Gabriel,Digging in the dirt
39,0.6,0.3,0.2,0.0,0.1,9glbuj3se88k.mp3,Procol Harum,A whiter shade of pale
