Rang	Artist	Song	Year
1	Bob Dylan	Like a Rolling Stone	1965
2	The Rolling Stones	(I Can't Get No) Satisfaction	1965
3	John Lennon	Imagine	1971
4	Marvin Gaye	What's Going On	1971
5	Aretha Franklin	Respect	1967
6	The Beach Boys	Good Vibrations	1966
7	Chuck Berry	Johnny B. Goode	1957
8	The Beatles	Hey Jude	1968
9	Nirvana	Smells Like Teen Spirit	1991
10	Ray Charles	What'd I Say	1959
11	The Who	My Generation	1965
12	Sam Cooke	A Change Is Gonna Come	1963
13	The Beatles	Yesterday	1965
14	Bob Dylan	Blowin' in the Wind	1962
15	The Clash	London Calling	1979
16	The Beatles	I Want to Hold Your Hand	1963
17	The Jimi Hendrix Experience	Purple Haze	1967
18	Chuck Berry	Maybellene	1955
19	Elvis Presley	Hound Dog	1956
20	The Beatles	Let It Be	1970
21	Bruce Springsteen	Born to Run	1975
22	The Ronettes	Be My Baby	1956
23	The Beatles	In My Life	1965
24	The Impressions	People Get Ready	1965
25	The Beach Boys	God Only Knows	1966
26	Otis Redding	(Sittin' On) The Dock of the Bay	1968
27	Derek and the Dominos	Layla	1971
28	The Beatles	A Day in the Life	1967
29	The Beatles	Help!	1965
30	Johnny Cash	I Walk the Line	1956
31	Led Zeppelin	Stairway to Heaven	1971
32	The Rolling Stones	Sympathy for the Devil	1968
33	Ike and Tina Turner	River Deep, Mountain High	1966
34	The Righteous Brothers	You've Lost That Lovin' Feelin'	1964
35	The Doors	Light My Fire	1967
36	U2	One	1992
37	Bob Marley	No Woman, No Cry	1974
38	The Rolling Stones	Gimme Shelter	1969
39	Buddy Holly and the Crickets	That'll Be the Day	1957
40	Martha Reeves and the Vandellas	Dancing in the Street	1964
41	The Band	The Weight	1968
42	The Kinks	Waterloo Sunset	1967
43	Little Richard	Tutti Frutti	1955
44	Ray Charles	Georgia on My Mind	1960
45	Elvis Presley	Heartbreak Hotel	1956
46	David Bowie	Heroes	1977
47	The Jimi Hendrix Experience	All Along the Watchtower	1968
48	Simon and Garfunkel	Bridge Over Troubled Water	1970
49	The Eagles	Hotel California	1977
50	Smokey Robinson and the Miracles	The Tracks of My Tears	1965
51	Grandmaster Flash and the Furious Five	The Message	1982
52	Prince	When Doves Cry	1984
53	Percy Sledge	When a Man Loves a Woman	1966
54	The Kingsmen	Louie Louie	1963
55	Little Richard	Long Tall Sally	1956
56	The Sex Pistols	Anarchy in the U.K.	1976
57	Procol Harum	A Whiter Shade of Pale	1967
58	Michael Jackson	Billie Jean	1983
59	Bob Dylan	The Times They Are a-Changin'	1964
60	Al Green	Let's Stay Together	1971
61	Jerry Lee Lewis	Whole Lotta Shakin' Goin' On	1955
62	Bo Diddley	Bo Diddley	1955
63	Buffalo Springfield	For What It's Worth	1967
64	The Beatles	She Loves You	1963
65	Cream	Sunshine of Your Love	1967
66	Bob Marley and the Wailers	Redemption Song	1980
67	Elvis Presley	Jailhouse Rock	1957
68	Bob Dylan	Tangled Up in Blue	1975
69	Roy Orbison	Crying	1962
70	Dionne Warwick	Walk On By	1964
71	James Brown	Papa's Got a Brand New Bag	1965
72	The Beach Boys	California Girls	1965
73	Stevie Wonder	Superstition	1972
74	Eddie Cochran	Summertime Blues	1958
75	Led Zeppelin	Whole Lotta Love	1969
76	The Beatles	Strawberry Fields Forever	1967
77	Elvis Presley	Mystery Train	1955
78	James Brown	I Got You (I Feel Good)	1965
79	The Byrds	Mr. Tambourine Man	1965
80	The Kinks	You Really Got Me	1964
81	Marvin Gaye	I Heard It Through the Grapevine	1968
82	Fats Domino	Blueberry Hill	1956
83	The Beatles	Norwegian Wood (This Bird Has Flown)	1965
84	The Police	Every Breath You Take	1983
85	Patsy Cline	Crazy	1961
86	Bruce Springsteen	Thunder Road	1975
87	Johnny Cash	Ring of Fire	1963
88	The Temptations	My Girl	1964
89	The Mamas & the Papas	California Dreamin'	1965
90	The Five Satins	In the Still of the Night	1965
91	Elvis Presley	Suspicious Minds	1969
92	Ramones	Blitzkrieg Bop	1976
93	U2	I Still Haven't Found What I'm Looking For	1987
94	Little Richard	Good Golly, Miss Molly	1958
95	Carl Perkins	Blue Suede Shoes	1956
96	Jerry Lee Lewis	Great Balls of Fire	1957
97	Chuck Berry	Roll Over Beethoven	1956
98	Al Green	Love and Happiness	1973
99	Creedence Clearwater Revival	Fortunate Son	1969
100	Gnarls Barkley	Crazy	2006
101	The Rolling Stones	You Can't Always Get What You Want	1969
102	The Jimi Hendrix Experience	Voodoo Child (Slight Return)	1970
103	Gene Vincent	Be-Bop-A-Lula	1956
104	Donna Summer	Hot Stuff	1979
105	Stevie Wonder	Living for the City	1973
106	Simon and Garfunkel	The Boxer	1969
107	Bob Dylan	Mr. Tambourine Man	1965
108	Buddy Holly and the Crickets	Not Fade Away	1957
109	Prince	Little Red Corvette	1983
110	Van Morrison	Brown Eyed Girl	1967
111	Otis Redding	I've Been Loving You too Long (to Stop Now)	1965
112	Hank Williams	I'm So Lonesome I Could Cry	1949
113	Elvis Presley	That's All Right	1954
114	The Drifters	Up on the Roof	1963
115	Sam Cooke	You Send Me	1957
116	The Rolling Stones	Honky Tonk Women	1969
117	Al Green	Take Me to the River	2000
118	Beyonce feat. Jay-Z	Crazy in Love	2003
119	The Isley Brothers	Shout (Parts 1 et 2)	1959
120	Fleetwood Mac	Go Your Own Way	1977
121	The Jackson Five	I Want You Back	1969
122	Ben E. King	Stand By Me	1961
123	The Animals	The House of the Rising Sun	1964
124	James Brown	It's a Man's Man's Man's World	1966
125	The Rolling Stones	Jumpin' Jack Flash	1968
126	The Shirelles	Will You Love Me Tomorrow	1960
127	Big Joe Turner	Shake, Rattle & Roll	1954
128	David Bowie	Changes	1971
129	Chuck Berry	Rock & Roll Music	1957
130	Steppenwolf	Born to Be Wild	1968
131	Rod Stewart	Maggie May	1971
132	U2	With or Without You	1987
133	Bo Diddley	Who Do You Love ?	1956
134	The Who	Won't Get Fooled Again	1971
135	Wilson Pickett	In the Midnight Hour	1965
136	The Beatles	While My Guitar Gently Weeps	1968
137	Elton John	Your Song	1970
138	The Beatles	Eleanor Rigby	1966
139	Sly and the Family Stone	Family Affair	1971
140	The Beatles	I Saw Her Standing There	1963
141	Led Zeppelin	Kashmir	1975
142	The Everly Brothers	All I Have to Do Is Dream	1958
143	James Brown and His Famous Flames	Please, Please, Please	1956
144	Prince and the Revolution	Purple Rain	1984
145	Ramones	I Wanna Be Sedated	1979
146	Sly and the Family Stone	Everyday People	1968
147	The B-52's	Rock Lobster	1978
148	Janis Joplin	Me and Bobby McGee	1971
149	Iggy Pop	Lust for Life	1977
150	The Everly Brothers	Cathy's Clown	1960
151	The Byrds	Eight Miles High	1966
152	The Penguins	Earth Angel	1954
153	The Jimi Hendrix Experience	Foxy Lady	1967
154	The Beatles	A Hard Day's Night	1964
155	Buddy Holly and the Crickets	Rave On!	1958
156	Creedence Clearwater Revival	Proud Mary	1969
157	Simon and Garfunkel	The Sounds of Silence	1964
158	The Flamingos	I Only Have Eyes for You	1959
159	Bill Haley and His Comets	(We're Gonna) Rock Around the Clock	1955
160	U2	Moment of Surrender	2009
161	The Velvet Underground	I'm Waiting for the Man	1966
162	Public Enemy	Bring the Noise	1987
163	Johnny Cash	Folsom Prison Blues	1955
164	Ray Charles	I Can't Stop Loving You	1962
165	Sinead O'Connor	Nothing Compares 2 U	1990
166	Queen	Bohemian Rhapsody	1975
167	Tracy Chapman	Fast Car	1988
168	Marvin Gaye	Let's Get It On	1973
169	The Temptations	Papa Was a Rollin' Stone	1972
170	R.E.M.	Losing My Religion	1991
171	Joni Mitchell	Both Sides Now	1968
172	Jay-Z	99 Problems	2004
173	Aerosmith	Dream On	1973
174	ABBA	Dancing Queen	1976
175	The Sex Pistols	God Save the Queen	1977
176	The Rolling Stones	Paint It Black	1966
177	The Bobby Fuller Four	I Fought the Law	1965
178	The Beach Boys	Don't Worry Baby	1964
179	Tom Petty	Free Fallin'	1989
180	Big Star	September Gurls	1974
181	Joy Division	Love Will Tear Us Apart	1980
182	OutKast	Hey Ya!	2003
183	Booker T. and the M.G.'s	Green Onions (en)	1962
184	The Drifters	Save the Last Dance for Me	1960
185	B.B. King	The Thrill Is Gone	1969
186	The Beatles	Please Please Me	1963
187	Bob Dylan	Desolation Row	1965
188	Creedence Clearwater Revival	Who'll Stop the Rain	1970
189	Aretha Franklin	I Never Loved a Man (the Way I Love You)	1967
190	AC\/DC	Back in Black	1980
191	Bee Gees	Stayin' Alive	1977
192	Bob Dylan	Knockin' on Heaven's Door	1973
193	Lynyrd Skynyrd	Free Bird	1974
194	Amy Winehouse	Rehab	2006
195	Glen Campbell	Wichita Lineman	1968
196	The Drifters	There Goes My Baby	1959
197	Buddy Holly	Peggy Sue	1957
198	Guns N' Roses	Sweet Child O' Mine	1988
199	The Chantels	Maybe	1957
200	Elvis Presley	Don't Be Cruel	1956
201	The Jimi Hendrix Experience	Hey Joe	1966
202	Parliament	Flash Light	1977
203	Beck	Loser	1993
204	New Order	Bizarre Love Triangle	1986
205	The Beatles	Come Together	1969
206	Bob Dylan	Positively 4th Street	1965
207	Otis Redding	Try a Little Tenderness	1966
208	Bill Withers	Lean on Me	1972
209	The Four Tops	Reach Out, I'll Be There	1966
210	The Everly Brothers	Bye Bye Love	1957
211	Them	Gloria	1964
212	The Beach Boys	In My Room	1963
213	? and the Mysterians	96 Tears	1966
214	The Beach Boys	Caroline, No	1966
215	Prince	1999	1982
216	Neil Young	Rockin' in the Free World	1989
217	Hank Williams	Your Cheatin' Heart	1953
218	The Lovin' Spoonful	Do You Believe in Magic	1965
219	Dolly Parton	Jolene	1974
220	John Lee Hooker	Boom Boom	1961
221	Howlin' Wolf	Spoonful	1960
222	The Left Banke	Walk Away Renee	1966
223	Lou Reed	Walk on the Wild Side	1972
224	Roy Orbison	Oh, Pretty Woman	1964
225	Sly and the Family Stone	Dance to the Music	1968
226	Muddy Waters	Hoochie Coochie Man	1954
227	James Taylor	Fire and Rain	1970
228	The Clash	Should I Stay or Should I Go	1982
229	Chic	Good Times	1979
230	Muddy Waters	Mannish Boy	1955
231	Van Morrison	Moondance	1977
232	Bob Dylan	Just Like a Woman	1966
233	Marvin Gaye	Sexual Healing	1982
234	Roy Orbison	Only the Lonely	1960
235	The Animals	We Gotta Get out of This Place	1965
236	M.I.A.	Paper Planes	2007
237	The Byrds	I'll Feel a Whole Lot Better	1965
238	Buddy Holly and the Crickets	Everyday	1957
239	Ray Charles	I Got a Woman	1954
240	Afrika Bambaataa and the Soul Sonic Force	Planet Rock	1982
241	Patsy Cline	I Fall to Pieces	1961
242	Dusty Springfield	Son of a Preacher Man	1968
243	Dion	The Wanderer	1961
244	Sly and the Family Stone	Stand!	1969
245	Elton John	Rocket Man	1972
246	The B-52's	Love Shack	1989
247	The Spencer Davis Group	Gimme Some Lovin'	1966
248	Jackie Wilson	(Your Love Keeps Lifting Me) Higher and Higher	1967
249	The Band	The Night They Drove Old Dixie Down	1969
250	Sly and the Family Stone	Hot Fun in the Summertime	1969
251	Sugarhill Gang	Rapper's Delight	1979
252	Aretha Franklin	Chain of Fools	1967
253	Black Sabbath	Paranoid	1970
254	The Drifters	Money Honey	1953
255	Bobby Darin	Mack the Knife	1959
256	Mott the Hoople	All the Young Dudes	1972
257	Radiohead	Paranoid Android	1997
258	AC\/DC	Highway to Hell	1979
259	Blondie	Heart of Glass	1979
260	Bob Dylan	Mississippi	2001
261	The Troggs	Wild Thing	1965
262	The Who	I Can See for Miles	1967
263	The Dells	Oh, What A Night	1956
264	Jeff Buckley	Hallelujah	2007
265	Stevie Wonder	Higher Ground	1973
266	Smokey Robinson and The Miracles	Ooo Baby Baby	1965
267	The Crystals	He's A Rebel	1962
268	Randy Newman	Sail Away	1972
269	The Ronettes	Walking in the Rain	1964
270	Archie Bell and The Drells	Tighten Up	1968
271	The New York Dolls	Personality Crisis	1973
272	U2	Sunday Bloody Sunday	1983
273	Kanye West	Jesus Walks	2004
274	The Modern Lovers	Roadrunner	1976
275	George Jones	He Stopped Loving Her Today	1980
276	The Beach Boys	Sloop John B	1966
277	Chuck Berry	Sweet Little Sixteen	1958
278	The Beatles	Something	1969
279	Jefferson Airplane	Somebody to Love	1967
